id,image,title,description,author_name,price,format,publication_date,publication_city_country,language,categories
10,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141340555.jpg,Roald Dahl's Marvellous Joke Book, Which famous writer goes best with a hot dog? Roll Dahl of course! Laugh yourself silly with Roald Dahl's Marvellous Joke Book  filled with over 400 hilarious jokes  limericks and riddles  illustrated by Quentin Blake. Based on Roald Dahl's most famous characters you will be chortling away with Matilda  Charlie  George  The BFG  James and many more! Roald Dahl was full of fun and mischief  and LOVED all kinds of jokes- the sillier the better  like chocolate-covered chickens to grizzly  grouchy grandmas. This side-splitting book includes his own 'knock-knock' jokes  keeping all practising jokesters amused for hours! ,Roald Dahl,10.01,6-12,129 x 198 x 7mm | 96g,Penguin Random House Children's UK,Puffin,"Activity Books,Classic Books for Children,Jokes Humour"
11,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2419/9780241988268.jpg,The Thursday Murder Club : (The Thursday Murder Club 1), 'Such a beacon of pleasure' KATE ATKINSON 'So smart and funny. Deplorably good' IAN RANKIN 'A gripping read' SUNDAY TIMES THE FIRST BOOK IN THE #1 BESTSELLING THURSDAY MURDER CLUB SERIES BY TV PRESENTER RICHARD OSMAN In a peaceful retirement village  four unlikely friends meet up once a week to investigate unsolved murders. But when a brutal killing takes place on their very doorstep  the Thursday Murder Club find themselves in the middle of their first live case. Elizabeth  Joyce  Ibrahim and Ron might be pushing eighty but they still have a few tricks up their sleeves. Can our unorthodox but brilliant gang catch the killer before it's too late? __________________________________ WHAT PEOPLE ARE SAYING ABOUT THE THURSDAY MURDER CLUB 'Thrilling  moving  laugh-out-loud funny' MARK BILLINGHAM 'A great read  I really enjoyed it' GRAHAM NORTON 'As the bodies pile up  and more is revealed of the lives and loves of Joyce  Ibrahim  Ron and Elizabeth  you can't help cheering them on - and hoping to meet them again soon' THE TIMES  CRIME BOOK OF THE MONTH 'Mystery fans are going to be enthralled' HARLAN COBEN 'Pure escapism' THE GUARDIAN  BEST CRIME AND THRILLERS OF 2020 'One of the most enjoyable books of the year' DAILY EXPRESS 'Smart  compassionate  warm  moving and so VERY funny' MARIAN KEYES 'As gripping as it is funny' EVENING STANDARD 'Funny  clever and achingly British' ADAM KAY 'An exciting new talent in crime fiction' DAILY MAIL 'A warm  wise and witty warning never to underestimate the elderly' VAL MCDERMID 'Delight after delight from first page to last' RED MAGAZINE 'I completely fell in love with it' SHARI LAPENA 'This is properly brilliant. The pages fly and I can't stop smiling' STEVE CAVANAGH 'Charming  clever debut' STYLIST 'I laughed my arse off' BELINDA BAUER 'A witty and poignant tale' DAILY TELEGRAPH 'Clever  clever plot' FIONA BARTON 'An absolutely delightful read' PRIMA MAGAZINE 'Utterly charming' SARAH PINBOROUGH 'Funny and original' THE SUN 'Properly funny and totally charming... steeped in Agatha Christie joy' ARAMINTA HALL 'This is one of the most delightful novels of the year' DAILY MIRROR 'A bundle of joy' JANE FALLON ,Richard Osman,11.01,Paperback | 400 pages,13 May 2021,London  United Kingdom,English,"Fiction Books,Contemporary Fiction,Crime,Crime Fiction,Vintage Crime,Thriller Books,Thrillers,Sagas"
12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4721/9781472154668.jpg,Where the Crawdads Sing," #1 New York Times Bestseller A Reese Witherspoon x Hello Sunshine Book Club Pick ""I can't even express how much I love this book! I didn't want this story to end!"" Reese Witherspoon ""Painfully beautiful."" The New York Times Book Review For years  rumors of the ""Marsh Girl"" have haunted Barkley Cove  a quiet town on the North Carolina coast. So in late 1969  when handsome Chase Andrews is found dead  the locals immediately suspect Kya Clark  the so-called Marsh Girl. But Kya is not what they say. Sensitive and intelligent  she has survived for years alone in the marsh that she calls home  finding friends in the gulls and lessons in the sand. Then the time comes when she yearns to be touched and loved. When two young men from town become intrigued by her wild beauty  Kya opens herself to a new life - until the unthinkable happens. Perfect for fans of Barbara Kingsolver and Celeste Ng  WHERE THE CRAWDADS SING is at once an exquisite ode to the natural world  a heartbreaking coming-of-age story  and a surprising tale of possible murder. Owens reminds us that we are forever shaped by the children we once were  and that we are all subject to the beautiful and violent secrets that nature keeps. ",Delia Owens,13.32,Paperback | 384 pages,20 Dec 2019,Corsair,London  United Kingdom,"Contemporary Fiction,Crime,Crime Fiction,Thriller Books,Thrillers"
13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1401/9780140167771.jpg,The Secret History : From the Pulitzer Prize-winning author of The Goldfinch, THE BESTSELLER THAT DEFINED AN AGE 'Everything  somehow  fit together; some sly and benevolent Providence was revealing itself by degrees and I felt myself trembling on the brink of a fabulous discovery  as though any morning it was all going to come together---my future  my past  the whole of my life---and I was going to sit up in bed like a thunderbolt and say oh! oh! oh!' Under the influence of a charismatic classics professor  a group of clever  eccentric misfits at a New England college discover a way of thought and life a world away from their banal contemporaries. But their search for the transcendent leads them down a dangerous path  beyond human constructs of morality. 'Haunting  compelling and brilliant' The Times 'Irresistible and seductive' Guardian 'Enthralling... Forceful  cerebral and impeccably controlled' New York Times ,Donna Tartt,17.38,Paperback | 640 pages,01 Jul 1995,London  United Kingdom,English,"Contemporary Fiction,Crime,Crime Fiction"
14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571368709.jpg,Small Things Like These : Shortlisted for the Booker Prize 2022, ** A Book of the Year in The Times - The New Statesman - Observer - Financial Times - Irish Times - Irish Independent - Times Literary Supplement ** WINNER OF THE ORWELL PRIZE AND THE KERRY GROUP IRISH NOVEL OF THE YEAR AWARD SHORTLISTED FOR THE RATHBONES FOLIO PRIZE AND THE IRISH NOVEL OF THE YEAR AT THE DALKEY LITERARY AWARDS 'Exquisite.' Damon Galgut 'Masterly.' The Times 'Miraculous.' Herald 'Astonishing.' Colm Toibin 'Stunning.' Sunday Independent 'Absolutely beautiful.' Douglas Stuart It is 1985  in an Irish town. During the weeks leading up to Christmas  Bill Furlong  a coal and timber merchant  faces into his busiest season. As he does the rounds  he feels the past rising up to meet him - and encounters the complicit silences of a people controlled by the Church. ,Claire Keegan,12.07,Paperback | 128 pages,03 Nov 2022,London  United Kingdom,English,"Contemporary Fiction,Historical Fiction"
15,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2416/9780241621240.jpg,The Light We Carry : Overcoming In Uncertain Times," Her life. Her learnings. Her toolkit to live boldly. How do we build enduring and honest relationships? How can we discover strength and community inside our differences? What do we do when it all starts to feel like too much? Michelle Obama believes that when we light up for others  we can illuminate the richness and potential of the world around us  discovering deeper truths and new pathways for progress. In The Light We Carry  the former First Lady shares her practical wisdom and powerful strategies for staying hopeful and balanced in today's highly uncertain world. A mother  daughter  spouse and friend  she shares fresh stories  her insightful reflections on change and the earned wisdom that helps her continue to ""become."" With her trademark humour  candour  and compassion  she also explores issues connected to race  gender  and visibility  encouraging readers to work through fear  find strength in community  and live with boldness. The Light We Carry will inspire readers to examine their own lives  identify their sources of gladness  and connect meaningfully in a turbulent world. Praise for her critically acclaimed  multi-million #1 bestselling memoir  Becoming: 'This is a rich  entertaining and candid memoir...it is as beautifully written as any piece of fiction' -- i 'In the best moments of Becoming  the miracle of Michelle Obama arises' -- Vanity Fair 'Intimate  inspiring and set to become hugely influential' -- Sunday Times 'Becoming serenely balances gravity and grace  uplift and anecdote' -- Observer ",Michelle Obama,32.38,Hardback | 336 pages,13 Dec 2022,Viking,London  United Kingdom,"Biography General,Memoirs,Personal Development,Advice On Careers Achieving Success,Popular Psychology,Assertiveness Motivation Self esteem"
16,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7868/9781786892737.jpg,The Midnight Library : The No.1 Sunday Times bestseller and worldwide phenomenon, THE SUNDAY TIMES NUMBER ONE BESTSELLING WORLDWIDE PHENOMENON READERS' MOST LOVED BOOK OF 2021 WINNER OF THE GOODREADS CHOICE AWARD FOR FICTION 'BEAUTIFUL' Jodi Picoult  'UPLIFTING' i  'BRILLIANT' Daily Mail  'AMAZING' Joanna Cannon  'ABSORBING' New York Times  'THOUGHT-PROVOKING' Independent Nora's life has been going from bad to worse. Then at the stroke of midnight on her last day on earth she finds herself transported to a library. There she is given the chance to undo her regrets and try out each of the other lives she might have lived. Which raises the ultimate question: with infinite choices  what is the best way to live? ,Matt Haig,12.66,Paperback | 304 pages,18 Feb 2021,Edinburgh  United Kingdom,English,Contemporary Fiction
17,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3985/9781398518162.jpg,It Starts with Us : the highly anticipated sequel to IT ENDS WITH US," Before It Ends with Us  it started with Atlas. Colleen Hoover tells fan favourite Atlas's side of the story and shares what comes next in this long-anticipated sequel to the #1 Sunday Times bestseller It Ends with Us Lily and her ex-husband  Ryle  have just settled into a civil co-parenting rhythm when she suddenly bumps into her first love  Atlas  again. After nearly two years separated  she is elated that for once  time is on their side  and she immediately says yes when Atlas asks her on a date. But her excitement is quickly hampered by the knowledge that  though they are no longer married  Ryle is still very much a part of her life-and Atlas Corrigan is the one man he will hate being in his ex-wife and daughter's life. Switching between the perspectives of Lily and Atlas  It Starts with Us picks up right where the epilogue for the bestselling phenomenon It Ends with Us left off. Revealing more about Atlas's past and following Lily as she embraces a second chance at true love while navigating a jealous ex-husband  it proves that ""no one delivers an emotional read like Colleen Hoover"" (Anna Todd  bestselling author). ",Colleen Hoover,22.60,Hardback | 336 pages,18 Oct 2022,London  United Kingdom,English,"Fiction Books,Contemporary Fiction,Romance,Romance Books,Adult Contemporary Romance,Poverty Unemployment,Safety In The Home,Family Relationships"
18,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471136726.jpg,Ugly Love, From Colleen Hoover  the #1 Sunday Times bestselling author of It Ends with Us  a heart-wrenching love story that proves attraction at first sight can be messy. When Tate Collins meets airline pilot Miles Archer  she doesn't think it's love at first sight. They wouldn't even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open  they realise they have the perfect set-up. He doesn't want love  she doesn't have time for love  so that just leaves the sex. Their arrangement could be surprisingly seamless  as long as Tate can stick to the only two rules Miles has for her. Never ask about the past. Don't expect a future. They think they can handle it  but realise almost immediately they can't handle it at all. Hearts get infiltrated. Promises get broken. Rules get shattered. Love gets ugly. ,Colleen Hoover,12.90,Paperback | 352 pages,21 Jan 2016,London  United Kingdom,English,"Contemporary Fiction,Romance,Romance Books,Adult Contemporary Romance"
19,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7805/9781780552491.jpg,Brain Games For Clever Kids (R), 'A super book for children to enjoy as they puzzle their way through the challenges  which get harder as they progress through the book' - Parents in Touch ___________________ Brain Games for Clever Kids (R) is a fantastic bestselling puzzle book  brimming with memory  word and number workouts for the cleverest of kids! Including battleships and mind-bending spot the differences to Japanese puzzles including hanjie  kakuro  futoshiki  sudoku and lots more. Let the brain games begin! Clever Kids is a trade mark of Michael O'Mara Books Limited. ,Gareth Moore,7.77,9-12,129 x 198 x 12mm | 150g,Michael O'Mara Books Ltd,Buster Books,"Primary Middle Schools,Open Learning Home Learning Distance Education,Children s Hobby Gaming Books,Puzzle Books"
